KPI,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6,District
building_battery_health_capacity_fade_ratio,0.003,0.003,0.003,0.003,0.003,0.003,
building_battery_health_equivalent_full_cycles_count,255.422,252.727,251.329,255.868,253.433,255.423,
building_battery_total_charge_kwh,1806.75,1806.75,1806.75,1806.75,1806.75,1806.75,
building_battery_total_discharge_kwh,1462.651,1428.15,1410.257,1468.367,1437.198,1462.665,
building_battery_total_throughput_kwh,3269.402,3234.9,3217.007,3275.117,3243.948,3269.415,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,3.873,3.616,1.489,3.589,2.872,4.109,
building_cost_daily_average_control_eur,3.594,3.356,1.24,3.306,2.607,3.83,
building_cost_daily_average_delta_eur,-0.28,-0.259,-0.249,-0.283,-0.265,-0.28,
building_cost_ratio_to_baseline_total_ratio,0.928,0.928,0.833,0.921,0.908,0.932,
building_cost_total_baseline_eur,1413.452,1319.482,543.214,1309.523,1047.984,1499.582,
building_cost_total_control_eur,1311.418,1224.807,452.357,1206.27,951.379,1397.544,
building_cost_total_delta_eur,-102.034,-94.674,-90.857,-103.254,-96.605,-102.037,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,3.06,2.857,1.936,2.65,2.167,3.122,
building_emissions_daily_average_control_kgco2,2.853,2.744,1.837,2.782,2.104,2.936,
building_emissions_daily_average_delta_kgco2,-0.207,-0.113,-0.099,0.132,-0.063,-0.186,
building_emissions_ratio_to_baseline_total_ratio,0.932,0.961,0.949,1.05,0.971,0.94,
building_emissions_total_baseline_kgco2,1116.604,1042.415,706.66,966.978,790.843,1139.29,
building_emissions_total_control_kgco2,1041.148,1001.278,670.414,1015.173,767.943,1071.265,
building_emissions_total_delta_kgco2,-75.456,-41.137,-36.245,48.195,-22.9,-68.026,
building_energy_grid_daily_average_export_baseline_kwh,10.019,7.2,8.644,4.203,6.078,9.049,
building_energy_grid_daily_average_export_control_kwh,7.795,5.456,6.962,3.995,4.7,6.981,
building_energy_grid_daily_average_export_delta_kwh,-2.223,-1.744,-1.682,-0.208,-1.378,-2.069,
building_energy_grid_daily_average_import_baseline_kwh,19.242,17.957,12.345,17.022,13.577,19.731,
building_energy_grid_daily_average_import_control_kwh,17.961,17.251,11.749,17.741,13.212,18.605,
building_energy_grid_daily_average_import_delta_kwh,-1.28,-0.706,-0.595,0.719,-0.365,-1.126,
building_energy_grid_daily_average_net_exchange_baseline_kwh,9.223,10.757,3.701,12.819,7.499,10.682,
building_energy_grid_daily_average_net_exchange_control_kwh,10.166,11.795,4.787,13.746,8.512,11.625,
building_energy_grid_daily_average_net_exchange_delta_kwh,0.943,1.037,1.087,0.927,1.013,0.943,
