KPI,Building_10,Building_11,Building_12,Building_7,Building_8,Building_9,District
building_battery_health_capacity_fade_ratio,0.003,0.003,0.003,0.003,0.003,0.003,
building_battery_health_equivalent_full_cycles_count,256.527,252.128,253.586,254.54,251.882,256.431,
building_battery_total_charge_kwh,1806.75,1806.75,1806.75,1806.75,1806.75,1806.75,
building_battery_total_discharge_kwh,1476.79,1420.483,1439.156,1451.366,1417.343,1475.566,
building_battery_total_throughput_kwh,3283.54,3227.233,3245.906,3258.116,3224.093,3282.317,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,5.364,4.303,2.504,1.144,2.344,2.179,
building_cost_daily_average_control_eur,5.077,4.048,2.238,0.871,2.091,1.892,
building_cost_daily_average_delta_eur,-0.288,-0.255,-0.266,-0.273,-0.253,-0.287,
building_cost_ratio_to_baseline_total_ratio,0.946,0.941,0.894,0.761,0.892,0.868,
building_cost_total_baseline_eur,1957.589,1570.281,913.651,417.402,855.475,795.2,
building_cost_total_control_eur,1852.538,1477.242,816.629,317.775,763.106,690.411,
building_cost_total_delta_eur,-105.05,-93.039,-97.022,-99.627,-92.369,-104.789,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,4.185,3.031,1.994,1.943,2.466,2.2,
