KPI,Building_10,Building_11,Building_12,Building_7,Building_8,Building_9,District
building_battery_health_capacity_fade_ratio,0.003,0.002,0.001,0.003,0.003,0.003,
building_battery_health_equivalent_full_cycles_count,293.971,245.913,134.666,334.345,322.446,293.497,
building_battery_total_charge_kwh,2033.415,1729.771,952.414,2331.107,2266.109,2037.456,
building_battery_total_discharge_kwh,1729.415,1417.911,771.315,1948.512,1861.199,1719.303,
building_battery_total_throughput_kwh,3762.83,3147.682,1723.729,4279.619,4127.308,3756.759,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,5.364,4.303,2.504,1.144,2.344,2.179,
building_cost_daily_average_control_eur,4.681,3.862,2.905,0.844,1.79,1.465,
building_cost_daily_average_delta_eur,-0.684,-0.441,0.401,-0.3,-0.554,-0.714,
building_cost_ratio_to_baseline_total_ratio,0.873,0.897,1.16,0.738,0.764,0.672,
building_cost_total_baseline_eur,1957.588,1570.281,913.651,417.402,855.475,795.2,
building_cost_total_control_eur,1708.099,1409.292,1059.973,308.053,653.245,534.71,
building_cost_total_delta_eur,-249.489,-160.989,146.322,-109.349,-202.229,-260.49,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,4.185,3.031,1.994,1.943,2.466,2.2,
building_emissions_daily_average_control_kgco2,3.589,2.74,2.317,1.6,1.864,1.68,
building_emissions_daily_average_delta_kgco2,-0.595,-0.291,0.323,-0.343,-0.603,-0.52,
building_emissions_ratio_to_baseline_total_ratio,0.858,0.904,1.162,0.823,0.756,0.764,
building_emissions_total_baseline_kgco2,1526.996,1105.998,727.613,709.021,900.031,802.731,
building_emissions_total_control_kgco2,1309.86,999.763,845.658,583.855,680.026,613.07,
building_emissions_total_delta_kgco2,-217.136,-106.236,118.045,-125.166,-220.004,-189.661,
building_energy_grid_daily_average_export_baseline_kwh,10.897,5.542,0.62,9.869,9.967,9.354,
building_energy_grid_daily_average_export_control_kwh,6.622,2.962,1.983,6.811,5.317,5.49,
building_energy_grid_daily_average_export_delta_kwh,-4.274,-2.58,1.362,-3.058,-4.649,-3.864,
building_energy_grid_daily_average_import_baseline_kwh,26.804,19.217,12.028,12.051,15.719,13.584,
building_energy_grid_daily_average_import_control_kwh,23.363,17.491,13.887,10.041,12.18,10.591,
building_energy_grid_daily_average_import_delta_kwh,-3.441,-1.725,1.859,-2.009,-3.54,-2.992,
building_energy_grid_daily_average_net_exchange_baseline_kwh,15.907,13.674,11.408,2.182,5.753,4.23,
building_energy_grid_daily_average_net_exchange_control_kwh,16.74,14.529,11.905,3.23,6.862,5.102,
building_energy_grid_daily_average_net_exchange_delta_kwh,0.833,0.855,0.496,1.048,1.11,0.872,
building_energy_grid_ratio_to_baseline_export_total_ratio,0.608,0.534,3.197,0.69,0.534,0.587,
building_energy_grid_ratio_to_baseline_import_total_ratio,0.872,0.91,1.155,0.833,0.775,0.78,
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,1.052,1.062,1.044,1.481,1.193,1.206,
building_energy_grid_total_export_baseline_kwh,3976.456,2022.426,226.29,3601.418,3636.973,3413.332,
building_energy_grid_total_export_control_kwh,2416.622,1080.905,723.451,2485.572,1940.382,2003.277,
building_energy_grid_total_export_delta_kwh,-1559.834,-941.521,497.161,-1115.846,-1696.591,-1410.054,
building_energy_grid_total_import_baseline_kwh,9781.314,7012.466,4389.36,4397.52,5736.204,4956.876,
building_energy_grid_total_import_control_kwh,8525.479,6382.805,5067.621,3664.269,4444.522,3864.974,
building_energy_grid_total_import_delta_kwh,-1255.835,-629.661,678.261,-733.25,-1291.681,-1091.902,
building_energy_grid_total_net_exchange_baseline_kwh,5804.858,4990.041,4163.07,796.102,2099.231,1543.544,
building_energy_grid_total_net_exchange_control_kwh,6108.857,5301.9,4344.169,1178.697,2504.141,1861.696,
building_energy_grid_total_net_exchange_delta_kwh,303.999,311.86,181.1,382.596,404.91,318.152,
building_equity_benefit_relative_percent,12.745,10.252,-16.015,26.198,23.639,32.758,
building_ev_events_departure_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_ev_events_departure_met_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_ev_events_departure_within_tolerance_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_ev_performance_departure_soc_deficit_mean_ratio,,,,,,,
building_ev_performance_departure_success_ratio,,,,,,,
building_ev_performance_departure_within_tolerance_ratio,,,,,,,
building_ev_total_charge_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_ev_total_v2g_export_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_solar_self_consumption_daily_average_export_kwh,6.144,2.498,0.268,4.736,4.759,4.685,
building_solar_self_consumption_daily_average_generation_kwh,20.021,20.061,19.317,19.346,18.454,15.78,
building_solar_self_consumption_ratio_self_consumption_ratio,0.693,0.875,0.986,0.755,0.742,0.703,
building_solar_self_consumption_total_export_kwh,2242.092,911.451,97.872,1728.262,1736.793,1709.544,
building_solar_self_consumption_total_generation_kwh,7306.035,7320.593,7049.203,7059.72,6734.176,5758.401,
district_battery_health_capacity_fade_ratio,,,,,,,0.003
district_battery_health_equivalent_full_cycles_count,,,,,,,270.806
district_battery_total_charge_kwh,,,,,,,11350.272
district_battery_total_discharge_kwh,,,,,,,9447.656
district_battery_total_throughput_kwh,,,,,,,20797.928
district_comfort_resilience_discomfort_cold_delta_average_c,,,,,,,0.0
district_comfort_resilience_discomfort_cold_delta_max_c,,,,,,,0.0
district_comfort_resilience_discomfort_cold_delta_min_c,,,,,,,0.0
district_comfort_resilience_discomfort_cold_ratio,,,,,,,
district_comfort_resilience_discomfort_hot_delta_average_c,,,,,,,0.0
district_comfort_resilience_discomfort_hot_delta_max_c,,,,,,,0.0
district_comfort_resilience_discomfort_hot_delta_min_c,,,,,,,0.0
district_comfort_resilience_discomfort_hot_ratio,,,,,,,
