KPI,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6,District
building_battery_health_capacity_fade_ratio,0.003,0.003,0.003,0.002,0.003,0.003,
building_battery_health_equivalent_full_cycles_count,317.632,279.845,286.921,169.789,253.267,282.308,
building_battery_total_charge_kwh,2205.512,1964.86,2025.606,1181.492,1773.334,1966.121,
building_battery_total_discharge_kwh,1860.179,1617.152,1646.979,991.809,1468.485,1647.422,
building_battery_total_throughput_kwh,4065.691,3582.012,3672.585,2173.302,3241.819,3613.543,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,3.873,3.616,1.489,3.589,2.872,4.109,
building_cost_daily_average_control_eur,2.959,3.043,1.048,3.383,2.344,3.472,
building_cost_daily_average_delta_eur,-0.915,-0.573,-0.44,-0.205,-0.528,-0.638,
building_cost_ratio_to_baseline_total_ratio,0.764,0.842,0.704,0.943,0.816,0.845,
building_cost_total_baseline_eur,1413.452,1319.482,543.214,1309.523,1047.984,1499.582,
building_cost_total_control_eur,1079.68,1110.541,382.591,1234.595,855.317,1266.871,
building_cost_total_delta_eur,-333.772,-208.94,-160.623,-74.928,-192.667,-232.711,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,3.06,2.857,1.936,2.65,2.167,3.122,
building_emissions_daily_average_control_kgco2,2.359,2.313,1.486,2.42,1.829,2.624,
building_emissions_daily_average_delta_kgco2,-0.7,-0.544,-0.451,-0.23,-0.338,-0.498,
building_emissions_ratio_to_baseline_total_ratio,0.771,0.81,0.767,0.913,0.844,0.841,
building_emissions_total_baseline_kgco2,1116.604,1042.415,706.66,966.978,790.843,1139.29,
building_emissions_total_control_kgco2,861.002,843.904,542.093,882.968,667.488,957.703,
building_emissions_total_delta_kgco2,-255.602,-198.512,-164.567,-84.011,-123.355,-181.587,
building_energy_grid_daily_average_export_baseline_kwh,10.019,7.2,8.644,4.203,6.078,9.049,
building_energy_grid_daily_average_export_control_kwh,5.112,3.062,4.911,2.269,3.373,5.387,
building_energy_grid_daily_average_export_delta_kwh,-4.907,-4.138,-3.733,-1.934,-2.705,-3.662,
building_energy_grid_daily_average_import_baseline_kwh,19.242,17.957,12.345,17.022,13.577,19.731,
building_energy_grid_daily_average_import_control_kwh,15.281,14.772,9.649,15.608,11.707,16.943,
building_energy_grid_daily_average_import_delta_kwh,-3.961,-3.185,-2.695,-1.414,-1.87,-2.789,
