KPI,Building_10,Building_11,Building_12,Building_7,Building_8,Building_9,District
building_battery_health_capacity_fade_ratio,0.003,0.002,0.001,0.003,0.003,0.003,
building_battery_health_equivalent_full_cycles_count,313.701,232.175,148.449,308.767,316.212,301.787,
building_battery_total_charge_kwh,2168.379,1631.168,1045.241,2152.741,2225.077,2093.411,
building_battery_total_discharge_kwh,1846.993,1340.67,854.909,1799.471,1822.442,1769.468,
building_battery_total_throughput_kwh,4015.372,2971.838,1900.15,3952.211,4047.519,3862.879,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,5.364,4.303,2.504,1.144,2.344,2.179,
building_cost_daily_average_control_eur,4.704,3.863,3.083,0.838,1.818,1.509,
building_cost_daily_average_delta_eur,-0.66,-0.44,0.58,-0.306,-0.526,-0.67,
building_cost_ratio_to_baseline_total_ratio,0.877,0.898,1.232,0.733,0.776,0.693,
building_cost_total_baseline_eur,1957.588,1570.281,913.651,417.402,855.475,795.2,
building_cost_total_control_eur,1716.658,1409.788,1125.211,305.771,663.575,550.824,
building_cost_total_delta_eur,-240.931,-160.492,211.56,-111.632,-191.9,-244.377,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,4.185,3.031,1.994,1.943,2.466,2.2,
building_emissions_daily_average_control_kgco2,3.661,2.742,2.351,1.609,1.827,1.709,
building_emissions_daily_average_delta_kgco2,-0.524,-0.289,0.357,-0.334,-0.639,-0.491,
building_emissions_ratio_to_baseline_total_ratio,0.875,0.905,1.179,0.828,0.741,0.777,
building_emissions_total_baseline_kgco2,1526.996,1105.998,727.613,709.021,900.031,802.731,
building_emissions_total_control_kgco2,1335.953,1000.659,857.893,586.976,666.865,623.652,
building_emissions_total_delta_kgco2,-191.044,-105.339,130.28,-122.045,-233.166,-179.079,
building_energy_grid_daily_average_export_baseline_kwh,10.897,5.542,0.62,9.869,9.967,9.354,
building_energy_grid_daily_average_export_control_kwh,6.956,3.079,2.19,6.928,5.112,5.658,
building_energy_grid_daily_average_export_delta_kwh,-3.941,-2.463,1.57,-2.941,-4.855,-3.696,
building_energy_grid_daily_average_import_baseline_kwh,26.804,19.217,12.028,12.051,15.719,13.584,
building_energy_grid_daily_average_import_control_kwh,23.744,17.55,14.12,10.078,11.968,10.776,
building_energy_grid_daily_average_import_delta_kwh,-3.06,-1.667,2.092,-1.973,-3.751,-2.808,
building_energy_grid_daily_average_net_exchange_baseline_kwh,15.907,13.674,11.408,2.182,5.753,4.23,
building_energy_grid_daily_average_net_exchange_control_kwh,16.788,14.471,11.93,3.15,6.856,5.118,
building_energy_grid_daily_average_net_exchange_delta_kwh,0.881,0.796,0.522,0.968,1.103,0.888,
building_energy_grid_ratio_to_baseline_export_total_ratio,0.638,0.556,3.532,0.702,0.513,0.605,
building_energy_grid_ratio_to_baseline_import_total_ratio,0.886,0.913,1.174,0.836,0.761,0.793,
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,1.055,1.058,1.046,1.444,1.192,1.21,
building_energy_grid_total_export_baseline_kwh,3976.456,2022.426,226.29,3601.418,3636.973,3413.332,
building_energy_grid_total_export_control_kwh,2538.327,1123.689,799.337,2528.269,1865.412,2064.687,
