KPI,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6,District
building_battery_health_capacity_fade_ratio,0.003,0.003,0.003,0.002,0.002,0.003,
building_battery_health_equivalent_full_cycles_count,310.432,268.551,290.92,179.009,241.483,266.202,
building_battery_total_charge_kwh,2154.874,1888.041,2051.45,1244.792,1690.311,1853.977,
building_battery_total_discharge_kwh,1818.653,1549.409,1672.33,1046.524,1400.666,1553.414,
building_battery_total_throughput_kwh,3973.527,3437.45,3723.78,2291.316,3090.976,3407.392,
building_comfort_resilience_discomfort_cold_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_cold_ratio,,,,,,,
building_comfort_resilience_discomfort_hot_delta_average_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_max_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_delta_min_c,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_discomfort_hot_ratio,,,,,,,
building_comfort_resilience_discomfort_overall_ratio,,,,,,,
building_comfort_resilience_resilience_one_minus_thermal_ratio,,,,,,,
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,0.0,0.0,0.0,0.0,0.0,0.0,
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,,,,,,,
building_cost_daily_average_baseline_eur,3.873,3.616,1.489,3.589,2.872,4.109,
building_cost_daily_average_control_eur,3.0,3.095,1.084,3.408,2.42,3.524,
building_cost_daily_average_delta_eur,-0.873,-0.521,-0.404,-0.181,-0.451,-0.585,
building_cost_ratio_to_baseline_total_ratio,0.775,0.856,0.728,0.95,0.843,0.858,
building_cost_total_baseline_eur,1413.452,1319.482,543.214,1309.523,1047.984,1499.582,
building_cost_total_control_eur,1094.781,1129.432,395.728,1243.502,883.261,1286.004,
building_cost_total_delta_eur,-318.671,-190.05,-147.487,-66.022,-164.722,-213.578,
building_electrical_service_phase_imbalance_phase_average_ratio,,,,,,,
building_electrical_service_phase_violations_energy_total_kwh,0.0,0.0,0.0,0.0,0.0,0.0,
building_electrical_service_phase_violations_event_count,0.0,0.0,0.0,0.0,0.0,0.0,
building_emissions_daily_average_baseline_kgco2,3.06,2.857,1.936,2.65,2.167,3.122,
building_emissions_daily_average_control_kgco2,2.377,2.287,1.519,2.457,1.844,2.649,
building_emissions_daily_average_delta_kgco2,-0.683,-0.57,-0.417,-0.192,-0.323,-0.473,
building_emissions_ratio_to_baseline_total_ratio,0.777,0.801,0.785,0.927,0.851,0.848,
building_emissions_total_baseline_kgco2,1116.604,1042.415,706.66,966.978,790.843,1139.29,
building_emissions_total_control_kgco2,867.373,834.538,554.419,896.771,672.856,966.521,
building_emissions_total_delta_kgco2,-249.231,-207.877,-152.241,-70.208,-117.987,-172.769,
building_energy_grid_daily_average_export_baseline_kwh,10.019,7.2,8.644,4.203,6.078,9.049,
building_energy_grid_daily_average_export_control_kwh,5.223,2.92,5.11,2.436,3.445,5.534,
building_energy_grid_daily_average_export_delta_kwh,-4.796,-4.28,-3.534,-1.767,-2.633,-3.516,
building_energy_grid_daily_average_import_baseline_kwh,19.242,17.957,12.345,17.022,13.577,19.731,
building_energy_grid_daily_average_import_control_kwh,15.367,14.605,9.85,15.798,11.737,17.039,
building_energy_grid_daily_average_import_delta_kwh,-3.874,-3.352,-2.495,-1.224,-1.84,-2.692,
building_energy_grid_daily_average_net_exchange_baseline_kwh,9.223,10.757,3.701,12.819,7.499,10.682,
building_energy_grid_daily_average_net_exchange_control_kwh,10.144,11.685,4.74,13.362,8.293,11.506,
building_energy_grid_daily_average_net_exchange_delta_kwh,0.921,0.928,1.039,0.543,0.794,0.824,
building_energy_grid_ratio_to_baseline_export_total_ratio,0.521,0.406,0.591,0.58,0.567,0.611,
building_energy_grid_ratio_to_baseline_import_total_ratio,0.799,0.813,0.798,0.928,0.864,0.864,
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,1.1,1.086,1.281,1.042,1.106,1.077,
building_energy_grid_total_export_baseline_kwh,3655.953,2627.325,3154.264,1533.858,2217.949,3302.265,
